source_id,seller_id,seller_type
283,1,owned_and_operated
2466,387,owned_and_operated
2932,325,owned_and_operated
3329,506,owned_and_operated
3330,507,owned_and_operated
3365,514,owned_and_operated
3368,525,owned_and_operated
3418,520,owned_and_operated
3423,506,owned_and_operated
3433,506,owned_and_operated
3442,530,owned_and_operated
3443,530,owned_and_operated
3459,530,owned_and_operated
3461,530,owned_and_operated
3463,507,owned_and_operated
3476,531,owned_and_operated
4115,525,owned_and_operated
4147,531,owned_and_operated
4442,530,owned_and_operated
4444,530,owned_and_operated
4616,325,owned_and_operated
5283,507,owned_and_operated
5285,506,owned_and_operated
5480,530,owned_and_operated
5481,530,owned_and_operated
5502,783,owned_and_operated
5509,783,owned_and_operated
5522,786,owned_and_operated
5531,786,owned_and_operated
5587,782,owned_and_operated
5594,782,owned_and_operated
5597,785,owned_and_operated
6329,387,owned_and_operated
6704,531,owned_and_operated
7228,387,owned_and_operated
7836,507,owned_and_operated
7876,530,owned_and_operated
7877,530,owned_and_operated
8217,387,owned_and_operated
8556,1093,owned_and_operated
8558,1093,owned_and_operated
8559,1094,owned_and_operated
8560,1094,owned_and_operated
8562,1095,owned_and_operated
8563,1095,owned_and_operated
8621,530,owned_and_operated
8751,1055,owned_and_operated
76468,387,owned_and_operated
162693,4127,owned_and_operated
162694,4127,owned_and_operated
917492,506,owned_and_operated
917493,506,owned_and_operated
994842,387,owned_and_operated
1051702,387,owned_and_operated
1053960,507,owned_and_operated
1238657,387,owned_and_operated
1241735,387,owned_and_operated
1406961,387,owned_and_operated
1511688,507,owned_and_operated
1512512,507,owned_and_operated
1535375,507,owned_and_operated
1701993,507,owned_and_operated
1719634,507,owned_and_operated
1811618,506,owned_and_operated
1811620,506,owned_and_operated
1843205,4127,owned_and_operated
1909112,520,owned_and_operated
1937545,507,owned_and_operated
1987708,1055,owned_and_operated
2007618,387,owned_and_operated
2007621,530,owned_and_operated
2410064,506,owned_and_operated
2410065,325,owned_and_operated
2410066,507,owned_and_operated
